song,artist,price,downloads,total_amount,month,year,company
Mwebale Okusiiba,Swahaba Kasumba,700,26,18200,November,2021,MTN
EMBERA YA SENTE,RONALD MAYINJA,700,26,18200,November,2021,MTN
Kikomando,Victor Ruz,700,25,17500,November,2021,MTN
Wendi,Bobie Wine,700,25,17500,November,2021,MTN
Kisumuluzo,Nalubega Diana Gong Records,700,25,17500,November,2021,MTN
Mpedde,Jovan Luzinda,700,24,16800,November,2021,MTN
Salyuti,Mary Bata,700,24,16800,November,2021,MTN
Sita Rudi Nyuma,Judith Babirye,700,24,16800,November,2021,MTN
Okikola Otya,Naira Ali,700,24,16800,November,2021,MTN
Merry Xmas,Carol Nantongo,700,23,16100,November,2021,MTN
Mummy Yo,Sheebah,700,23,16100,November,2021,MTN
Taata Bulamu,Viola Nakitende,700,23,16100,November,2021,MTN
Enyanda,Sheebah,700,22,15400,November,2021,MTN
Ndi Wuwo,Viola Nakitende,700,22,15400,November,2021,MTN
Juicy,Radio and Weasle,700,22,15400,November,2021,MTN
Bunyoro Anthem,Sabba Sabba,700,22,15400,November,2021,MTN
Kawomera,Sasha Brighton,700,22,15400,November,2021,MTN
Nakusiima,Carol Nantongo,700,21,14700,November,2021,MTN
Tokendeeza,Geosteady,700,21,14700,November,2021,MTN
BAANABANGE,FRED Ssebatta,700,21,14700,November,2021,MTN
Kiggwa Leero,Bobi wine and Nubian Lee 2015,700,21,14700,November,2021,MTN
Yitayo,Chosen Blood ft Winnie Nwagi,700,20,14000,November,2021,MTN
Kankwambale,Minayo,700,20,14000,November,2021,MTN
Tonzoleya,Topic ft Sheebah,700,20,14000,November,2021,MTN
Happy XMass,Bushy King,700,19,13300,November,2021,MTN
Sister,Izon T,700,19,13300,November,2021,MTN
Ntambula Ne Yezu,Kigoowa Church Choir,700,19,13300,November,2021,MTN
Hullo Hullo,King Saha,700,19,13300,November,2021,MTN
Batitiizi,Ronald Mayinja,700,18,12600,November,2021,MTN
Kale Maama,Sheebah ft Chance Nalubega,700,18,12600,November,2021,MTN
Suupu,Shammy K,700,17,11900,November,2021,MTN
Ninda yesu,babirye judith,700,17,11900,November,2021,MTN
Munakampala,Ykee Benda,700,16,11200,November,2021,MTN
Specioza,Bobi Wine,700,16,11200,November,2021,MTN
Omwana Wabandi,Radio and Weasel,700,16,11200,November,2021,MTN
Omutetsi,Eng Jovan,700,16,11200,November,2021,MTN
Ogenda Bintamya,Geosteady,700,15,10500,November,2021,MTN
Mugulu,Zanie Brown,700,15,10500,November,2021,MTN
Nali Naloba,Victor Ruz,700,15,10500,November,2021,MTN
Eyalama,Mushaga Charmant,700,15,10500,November,2021,MTN
Oli Wa Mukisa,Stabua Natooro,700,15,10500,November,2021,MTN
Onkutudde,Sheebah,700,14,9800,November,2021,MTN
Exercise,Sheebah,700,14,9800,November,2021,MTN
Toyuuga,Viola Nakitende,700,14,9800,November,2021,MTN
Farmer rmx,Ykee Benda and Sheebah,700,14,9800,November,2021,MTN
Tugenda Komawa,Mary Bata,700,13,9100,November,2021,MTN
Etala Yabafumbo,Fred sebata,700,13,9100,November,2021,MTN
Ndeese Love,Victor Ruz,700,13,9100,November,2021,MTN
Love Again,Fille,700,13,9100,November,2021,MTN
Ndikuwaki,Pallaso,700,13,9100,November,2021,MTN
Byonkola,Ykee Benda,700,13,9100,November,2021,MTN
omulamuzi,Harriet Kisakye,700,12,8400,November,2021,MTN
Ebenezer,Hossana Joy,700,12,8400,November,2021,MTN
Akabaasa,Betina Namukasa,700,11,7700,November,2021,MTN
Sabula,Fille,700,11,7700,November,2021,MTN
katonda wabanaku,David mugema,700,11,7700,November,2021,MTN
neera jazz,kadala,700,10,7000,November,2021,MTN
Ompuuba,Carol Nantongo,700,10,7000,November,2021,MTN
Ggwe Wamwonoona,Vicent Segawa,700,10,7000,November,2021,MTN
Mudaala,Fille,700,10,7000,November,2021,MTN
Kabiite,Nalubega Diana Gong Records,700,9,6300,November,2021,MTN
Moving with the movement,meddy lwassa,700,9,6300,November,2021,MTN
Quran Baqarah,Islam,700,9,6300,November,2021,MTN
Ekiri Munda,Peter Byona,700,9,6300,November,2021,MTN
On My Way,King Saha,700,9,6300,November,2021,MTN
Esubi lyange,Judith Babirye,700,9,6300,November,2021,MTN
Bahajji bahajjati,Stabua Natooro,700,9,6300,November,2021,MTN
Baby Face,Harriet Kisakye,700,9,6300,November,2021,MTN
lwaki onumya,Weasle ft Moze Radio,700,9,6300,November,2021,MTN
Ononsonyiwa,Jamal Wasswa,700,8,5600,November,2021,MTN
My Joy Instrumental,Isiah katumwa,700,8,5600,November,2021,MTN
